code,axis,rate,dec_p_sub,dec_p_ins,dec_p_del,dec_p_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate
K3_R1_2,flip,0,0.001,0,0,0,24,0,30,119280,0,0
K3_R1_2,flip,0.001,0.001,0,0,0,24,0,30,119280,0,0
K3_R1_2,flip,0.002,0.002,0,0,0,24,0,30,119280,0,0
K3_R1_2,flip,0.003,0.003,0,0,0,24,0,30,119280,0,0
K3_R1_2,flip,0.004,0.004,0,0,0,24,0,30,119280,0,0
K3_R1_2,flip,0.005,0.005,0,0,0,24,0,30,119280,0,0
K3_R1_2,flip,0.006,0.006,0,0,0,24,0,30,119280,0,0
K3_R1_2,flip,0.0075,0.0075,0,0,0,24,0,30,119280,7,5.8685446e-05
K3_R1_2,flip,0.01,0.01,0,0,0,24,0,30,119280,10,8.3836351e-05
K3_R1_2,flip,0.0125,0.0125,0,0,0,24,0,30,119280,11,9.2219987e-05
K3_R1_2,flip,0.015,0.015,0,0,0,24,0,30,119280,12,0.00010060362
K3_R1_2,flip,0.0175,0.0175,0,0,0,24,0,30,119280,22,0.00018443997
K3_R1_2,flip,0.02,0.02,0,0,0,24,0,30,119280,49,0.00041079812
K3_R1_2,flip,0.025,0.025,0,0,0,24,0,30,119280,120,0.0010060362
K3_R1_2,flip,0.03,0.03,0,0,0,24,0,30,119280,150,0.0012575453
K3_R1_2,flip,0.035,0.035,0,0,0,24,0,30,119280,311,0.0026073105
K3_R1_2,flip,0.04,0.04,0,0,0,24,0,30,119280,481,0.0040325285
K3_R1_2,flip,0.05,0.05,0,0,0,24,0,30,119280,860,0.0072099262
K3_R1_2,flip,0.06,0.06,0,0,0,24,0,30,119280,1342,0.011250838
K3_R1_2,flip,0.07,0.07,0,0,0,24,0,30,119280,2283,0.019139839
K3_R1_2,flip,0.08,0.08,0,0,0,24,0,30,119280,3620,0.030348759
K3_R1_2,flip,0.09,0.09,0,0,0,24,0,30,119280,4652,0.039000671
K3_R1_2,flip,0.1,0.1,0,0,0,24,0,30,119280,6170,0.051727029
K3_R1_2,flip,0.11,0.11,0,0,0,24,0,30,119280,8049,0.067479879
K3_R1_2,flip,0.12,0.12,0,0,0,24,0,30,119280,9917,0.08314051
